DAY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
02-17,66.0,73.0,61.0,60.0,68.0,70.0,53.0,71.0,81.0,69.0,85.0,66.0,64.0,68.0
02-18,71.0,64.0,64.0,62.0,69.0,75.0,62.0,66.0,80.0,72.0,78.0,68.0,66.0,69.0
02-19,68.0,68.0,70.0,65.0,67.0,77.0,62.0,71.0,76.0,75.0,79.0,59.0,67.0,70.0
02-20,65.0,57.0,63.0,69.0,62.0,60.0,63.0,54.0,71.0,72.0,80.0,65.0,52.0,64.0
02-21,66.0,66.0,58.0,74.0,58.0,60.0,66.0,49.0,71.0,74.0,81.0,75.0,60.0,66.0
02-22,64.0,71.0,61.0,73.0,47.0,68.0,72.0,54.0,74.0,73.0,75.0,77.0,55.0,66.0
02-23,73.0,61.0,62.0,82.0,51.0,66.0,74.0,59.0,74.0,72.0,64.0,64.0,61.0,66.0
02-24,73.0,56.0,75.0,81.0,57.0,60.0,67.0,46.0,75.0,51.0,65.0,59.0,55.0,63.0
02-25,73.0,65.0,70.0,83.0,64.0,66.0,71.0,57.0,71.0,64.0,74.0,62.0,59.0,68.0
02-26,75.0,69.0,70.0,77.0,62.0,69.0,72.0,63.0,77.0,68.0,75.0,63.0,70.0,70.0
02-27,81.0,72.0,71.0,77.0,65.0,55.0,73.0,58.0,74.0,68.0,81.0,67.0,70.0,70.0
02-28,81.0,58.0,77.0,77.0,58.0,63.0,59.0,63.0,77.0,67.0,80.0,63.0,51.0,67.0
03-01,71.0,56.0,81.0,74.0,62.0,70.0,72.0,71.0,69.0,76.0,81.0,65.0,65.0,70.0
03-02,64.0,59.0,67.0,81.0,66.0,78.0,61.0,76.0,62.0,70.0,82.0,71.0,73.0,70.0
03-03,79.0,55.0,57.0,85.0,71.0,77.0,62.0,74.0,69.0,62.0,82.0,69.0,76.0,71.0
03-04,75.0,62.0,68.0,81.0,71.0,75.0,74.0,73.0,66.0,63.0,82.0,77.0,72.0,72.0
03-05,78.0,64.0,67.0,79.0,68.0,68.0,78.0,74.0,73.0,63.0,83.0,76.0,66.0,72.0
03-06,82.0,73.0,60.0,74.0,71.0,73.0,79.0,80.0,75.0,71.0,77.0,67.0,70.0,73.0
03-07,71.0,79.0,66.0,68.0,70.0,73.0,65.0,79.0,77.0,72.0,67.0,73.0,71.0,72.0
03-08,59.0,81.0,63.0,73.0,53.0,66.0,62.0,68.0,71.0,74.0,65.0,81.0,78.0,69.0
