DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
02-12,47.0,61.0,53.0,63.0,41.0,56.0,63.0,52.0,42.0,68.0,63.0,74.0,55.0,49.0,56.0
02-13,56.0,65.0,49.0,61.0,44.0,60.0,66.0,47.0,52.0,73.0,69.0,73.0,57.0,51.0,59.0
02-14,55.0,62.0,49.0,47.0,45.0,61.0,65.0,43.0,56.0,75.0,70.0,68.0,58.0,50.0,57.0
02-15,49.0,55.0,55.0,48.0,51.0,59.0,66.0,44.0,61.0,72.0,67.0,70.0,60.0,51.0,58.0
02-16,55.0,49.0,63.0,56.0,51.0,59.0,55.0,53.0,65.0,67.0,64.0,74.0,61.0,53.0,59.0
02-17,59.0,47.0,65.0,60.0,46.0,59.0,54.0,55.0,58.0,69.0,59.0,72.0,58.0,61.0,59.0
02-18,52.0,48.0,61.0,57.0,49.0,59.0,51.0,57.0,59.0,67.0,70.0,67.0,50.0,56.0,57.0
02-19,48.0,45.0,47.0,60.0,56.0,56.0,48.0,50.0,54.0,67.0,71.0,67.0,47.0,46.0,54.0
02-20,48.0,49.0,46.0,51.0,62.0,42.0,34.0,54.0,39.0,57.0,64.0,70.0,56.0,40.0,51.0
02-21,50.0,49.0,60.0,45.0,65.0,45.0,44.0,61.0,41.0,63.0,64.0,72.0,65.0,42.0,55.0
02-22,50.0,54.0,61.0,39.0,66.0,39.0,49.0,64.0,46.0,65.0,56.0,64.0,60.0,42.0,54.0
02-23,46.0,60.0,45.0,50.0,70.0,48.0,47.0,67.0,52.0,66.0,48.0,55.0,47.0,38.0,53.0
02-24,49.0,61.0,48.0,54.0,70.0,50.0,48.0,62.0,42.0,68.0,47.0,61.0,47.0,46.0,54.0
02-25,48.0,64.0,55.0,56.0,68.0,54.0,51.0,63.0,53.0,65.0,62.0,71.0,51.0,48.0,58.0
02-26,48.0,66.0,58.0,60.0,63.0,54.0,47.0,61.0,49.0,65.0,59.0,72.0,47.0,56.0,58.0
