DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
02-22,56.0,52.0,67.0,49.0,71.0,41.0,53.0,62.0,45.0,66.0,64.0,64.0,69.0,48.0,58.0
02-23,55.0,57.0,47.0,55.0,75.0,38.0,55.0,66.0,55.0,69.0,53.0,53.0,51.0,47.0,55.0
02-24,50.0,61.0,46.0,62.0,75.0,48.0,55.0,53.0,38.0,70.0,39.0,55.0,49.0,47.0,53.0
02-25,48.0,65.0,59.0,57.0,72.0,51.0,60.0,67.0,50.0,69.0,57.0,65.0,55.0,47.0,59.0
02-26,50.0,70.0,63.0,57.0,68.0,51.0,59.0,57.0,48.0,69.0,56.0,72.0,50.0,62.0,59.0
02-27,53.0,73.0,61.0,63.0,65.0,59.0,43.0,64.0,45.0,68.0,51.0,75.0,55.0,59.0,60.0
02-28,60.0,70.0,43.0,66.0,60.0,52.0,54.0,48.0,51.0,64.0,55.0,73.0,49.0,52.0,57.0
03-01,57.0,60.0,49.0,72.0,70.0,57.0,60.0,58.0,61.0,54.0,49.0,72.0,46.0,61.0,59.0
03-02,60.0,67.0,49.0,48.0,79.0,64.0,68.0,45.0,65.0,55.0,58.0,76.0,53.0,67.0,61.0
03-03,56.0,69.0,45.0,49.0,72.0,63.0,68.0,52.0,68.0,58.0,50.0,77.0,60.0,67.0,61.0
03-04,60.0,65.0,55.0,65.0,71.0,61.0,59.0,60.0,64.0,62.0,50.0,78.0,64.0,57.0,62.0
03-05,53.0,70.0,54.0,52.0,67.0,56.0,60.0,70.0,64.0,59.0,54.0,73.0,64.0,50.0,60.0
03-06,51.0,72.0,67.0,49.0,65.0,65.0,65.0,69.0,70.0,67.0,61.0,71.0,53.0,55.0,63.0
03-07,63.0,66.0,68.0,56.0,53.0,57.0,57.0,50.0,69.0,64.0,63.0,60.0,61.0,54.0,60.0
03-08,68.0,47.0,72.0,63.0,64.0,53.0,51.0,56.0,52.0,60.0,67.0,61.0,70.0,70.0,61.0
03-09,68.0,50.0,74.0,59.0,58.0,51.0,61.0,55.0,43.0,63.0,66.0,64.0,75.0,71.0,61.0
03-10,72.0,46.0,72.0,65.0,61.0,47.0,70.0,54.0,54.0,71.0,68.0,70.0,80.0,64.0,64.0
03-11,70.0,37.0,69.0,65.0,65.0,51.0,75.0,66.0,62.0,60.0,71.0,71.0,75.0,61.0,64.0
03-12,76.0,39.0,71.0,69.0,63.0,59.0,73.0,71.0,65.0,61.0,61.0,59.0,77.0,61.0,65.0
03-13,72.0,42.0,81.0,73.0,59.0,65.0,68.0,73.0,71.0,64.0,69.0,68.0,74.0,68.0,68.0
03-14,,53.0,81.0,67.0,61.0,49.0,74.0,73.0,75.0,64.0,69.0,71.0,79.0,74.0,68.0
03-15,42.0,63.0,80.0,59.0,65.0,56.0,74.0,74.0,81.0,63.0,72.0,65.0,81.0,57.0,67.0
03-16,52.0,65.0,79.0,48.0,70.0,63.0,77.0,76.0,75.0,65.0,75.0,68.0,79.0,64.0,68.0
03-17,57.0,66.0,83.0,48.0,74.0,68.0,77.0,70.0,74.0,72.0,72.0,73.0,81.0,61.0,70.0
03-18,57.0,58.0,81.0,60.0,75.0,72.0,71.0,47.0,71.0,54.0,69.0,73.0,82.0,53.0,66.0
03-19,52.0,47.0,76.0,68.0,76.0,63.0,69.0,44.0,69.0,60.0,61.0,72.0,82.0,55.0,64.0
03-20,57.0,51.0,71.0,71.0,77.0,56.0,67.0,51.0,71.0,73.0,67.0,77.0,83.0,63.0,67.0
03-21,59.0,56.0,69.0,67.0,75.0,64.0,55.0,65.0,74.0,70.0,72.0,76.0,81.0,73.0,68.0
03-22,64.0,51.0,57.0,67.0,70.0,72.0,53.0,71.0,69.0,69.0,76.0,70.0,75.0,79.0,67.0
03-23,59.0,59.0,57.0,64.0,54.0,59.0,65.0,75.0,49.0,68.0,74.0,58.0,55.0,71.0,62.0
03-24,54.0,67.0,62.0,74.0,58.0,60.0,62.0,77.0,59.0,70.0,72.0,64.0,67.0,69.0,65.0
03-25,49.0,70.0,66.0,76.0,65.0,67.0,64.0,78.0,62.0,68.0,70.0,70.0,69.0,67.0,67.0
03-26,55.0,70.0,72.0,76.0,64.0,60.0,64.0,70.0,71.0,66.0,69.0,63.0,65.0,58.0,66.0
03-27,64.0,61.0,68.0,75.0,51.0,58.0,71.0,75.0,70.0,62.0,79.0,73.0,70.0,60.0,67.0
03-28,67.0,62.0,44.0,73.0,62.0,64.0,71.0,77.0,74.0,64.0,83.0,69.0,58.0,66.0,67.0
03-29,61.0,62.0,53.0,73.0,64.0,74.0,63.0,75.0,74.0,74.0,81.0,54.0,70.0,70.0,68.0
03-30,57.0,53.0,54.0,69.0,51.0,76.0,70.0,81.0,71.0,70.0,82.0,53.0,74.0,76.0,67.0
03-31,54.0,72.0,69.0,67.0,67.0,70.0,79.0,80.0,77.0,69.0,81.0,58.0,51.0,80.0,70.0
