DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
01-26,62.0,64.0,60.0,69.0,63.0,67.0,66.0,73.0,68.0,72.0,68.0,63.0,56.0,67.0,66.0
01-27,61.0,67.0,64.0,61.0,53.0,65.0,68.0,74.0,66.0,71.0,74.0,67.0,55.0,71.0,66.0
01-28,63.0,60.0,67.0,62.0,62.0,52.0,72.0,73.0,58.0,72.0,76.0,73.0,61.0,78.0,66.0
01-29,60.0,66.0,69.0,60.0,67.0,61.0,70.0,76.0,52.0,73.0,69.0,74.0,71.0,79.0,68.0
01-30,54.0,74.0,54.0,57.0,71.0,61.0,71.0,75.0,57.0,80.0,61.0,77.0,75.0,81.0,68.0
01-31,61.0,70.0,55.0,57.0,74.0,66.0,57.0,73.0,61.0,72.0,56.0,76.0,74.0,80.0,67.0
02-01,62.0,68.0,55.0,65.0,71.0,66.0,60.0,73.0,72.0,60.0,63.0,55.0,76.0,82.0,66.0
02-02,59.0,73.0,57.0,67.0,73.0,70.0,39.0,67.0,75.0,60.0,72.0,49.0,75.0,79.0,65.0
02-03,64.0,74.0,63.0,69.0,78.0,54.0,37.0,63.0,70.0,59.0,75.0,53.0,76.0,77.0,65.0
02-04,58.0,82.0,74.0,56.0,80.0,63.0,52.0,66.0,69.0,57.0,76.0,60.0,77.0,78.0,68.0
02-05,61.0,76.0,79.0,51.0,84.0,66.0,61.0,72.0,72.0,61.0,83.0,65.0,79.0,79.0,71.0
02-06,63.0,73.0,81.0,58.0,75.0,68.0,65.0,68.0,70.0,57.0,84.0,74.0,69.0,78.0,70.0
02-07,65.0,72.0,80.0,64.0,72.0,56.0,72.0,75.0,70.0,65.0,78.0,71.0,70.0,77.0,70.0
02-08,63.0,80.0,80.0,70.0,55.0,56.0,71.0,68.0,68.0,70.0,80.0,81.0,76.0,83.0,72.0
02-09,70.0,70.0,78.0,75.0,59.0,62.0,64.0,73.0,52.0,77.0,84.0,82.0,85.0,82.0,72.0
02-10,63.0,71.0,78.0,78.0,51.0,54.0,64.0,75.0,56.0,77.0,80.0,83.0,88.0,79.0,71.0
02-11,60.0,72.0,69.0,75.0,61.0,57.0,70.0,80.0,52.0,74.0,76.0,84.0,82.0,74.0,70.0
02-12,59.0,75.0,68.0,72.0,66.0,65.0,77.0,67.0,52.0,77.0,70.0,87.0,72.0,69.0,70.0
02-13,62.0,76.0,60.0,77.0,63.0,68.0,81.0,67.0,60.0,83.0,77.0,85.0,67.0,73.0,71.0
02-14,66.0,76.0,56.0,70.0,57.0,72.0,81.0,57.0,66.0,85.0,78.0,81.0,70.0,64.0,70.0
02-15,68.0,76.0,61.0,51.0,64.0,72.0,81.0,64.0,71.0,88.0,71.0,82.0,70.0,58.0,70.0
