DAY,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,AVG
04-23,77.0,64.0,62.0,75.0,85.0,64.0,71.0,91.0,73.0,71.0,67.0,73.0,86.0,87.0,75.0
04-24,65.0,69.0,73.0,71.0,80.0,76.0,73.0,84.0,77.0,79.0,71.0,78.0,77.0,88.0,76.0
04-25,71.0,76.0,80.0,76.0,64.0,80.0,76.0,80.0,77.0,78.0,64.0,64.0,74.0,90.0,75.0
04-26,75.0,78.0,83.0,79.0,72.0,81.0,69.0,69.0,84.0,58.0,66.0,69.0,79.0,93.0,75.0
04-27,73.0,66.0,89.0,83.0,75.0,81.0,73.0,77.0,86.0,68.0,76.0,72.0,79.0,90.0,78.0
04-28,62.0,81.0,94.0,85.0,76.0,77.0,79.0,79.0,91.0,72.0,85.0,56.0,65.0,85.0,78.0
04-29,69.0,81.0,88.0,86.0,79.0,57.0,74.0,81.0,93.0,72.0,85.0,69.0,71.0,78.0,77.0
04-30,74.0,87.0,89.0,77.0,82.0,61.0,63.0,85.0,89.0,74.0,89.0,59.0,79.0,74.0,77.0
05-01,77.0,88.0,81.0,64.0,84.0,69.0,66.0,81.0,79.0,79.0,90.0,71.0,83.0,64.0,77.0
05-02,79.0,89.0,83.0,71.0,78.0,67.0,73.0,80.0,81.0,89.0,88.0,73.0,87.0,62.0,79.0
05-03,79.0,85.0,73.0,80.0,83.0,78.0,80.0,81.0,83.0,90.0,84.0,83.0,88.0,76.0,82.0
05-04,82.0,81.0,70.0,82.0,85.0,82.0,86.0,83.0,85.0,88.0,72.0,89.0,92.0,84.0,83.0
05-05,81.0,76.0,65.0,78.0,84.0,84.0,87.0,81.0,76.0,86.0,76.0,83.0,94.0,90.0,82.0
05-06,65.0,80.0,72.0,77.0,92.0,77.0,89.0,80.0,72.0,67.0,77.0,62.0,85.0,92.0,78.0
05-07,71.0,85.0,80.0,78.0,92.0,80.0,88.0,74.0,68.0,65.0,72.0,67.0,60.0,93.0,77.0
05-08,76.0,87.0,85.0,80.0,94.0,84.0,79.0,80.0,73.0,74.0,59.0,71.0,74.0,96.0,79.0
05-09,78.0,86.0,90.0,82.0,93.0,78.0,66.0,86.0,75.0,78.0,67.0,77.0,55.0,97.0,79.0
05-10,67.0,87.0,91.0,85.0,91.0,71.0,64.0,88.0,83.0,80.0,77.0,80.0,70.0,94.0,81.0
05-11,72.0,90.0,95.0,85.0,92.0,63.0,75.0,88.0,88.0,67.0,83.0,84.0,82.0,85.0,82.0
05-12,78.0,92.0,94.0,81.0,90.0,72.0,84.0,91.0,92.0,75.0,82.0,90.0,87.0,76.0,85.0
05-13,81.0,93.0,92.0,72.0,89.0,73.0,87.0,93.0,95.0,77.0,79.0,93.0,80.0,78.0,84.0
05-14,86.0,95.0,88.0,81.0,90.0,79.0,84.0,95.0,95.0,85.0,69.0,91.0,81.0,81.0,86.0
05-15,90.0,93.0,90.0,84.0,91.0,84.0,77.0,96.0,89.0,91.0,58.0,82.0,73.0,84.0,84.0
